國文,英文,數學,社會,自然
8,11,14,11,12
8,6,13,12,8
6,13,15,6,13
15,8,9,6,8
8,6,9,15,15
8,9,15,15,14
14,12,15,6,10
10,10,6,12,13
8,12,15,6,15
8,13,14,11,12
12,10,9,15,10
14,11,6,12,12
15,12,6,10,12
8,12,6,12,8
9,12,7,11,14
6,13,13,9,10
15,13,11,9,6
13,13,13,12,9
9,14,10,6,11
8,7,10,10,9
14,6,8,7,9
6,10,15,7,6
13,15,11,8,13
7,9,13,9,11
14,13,9,10,9
10,11,7,15,6
6,6,8,9,15
13,6,7,10,12
6,7,15,12,14
11,15,9,6,9
6,7,15,15,11
7,14,8,10,8
14,7,13,10,13
8,8,11,11,8
7,9,10,8,13
15,15,15,7,15
8,14,15,9,10
12,14,13,12,15
7,14,15,15,10
12,12,12,8,10
8,7,6,9,7
10,10,15,15,11
13,9,12,11,6
14,7,6,13,11
13,7,6,13,10
12,10,12,7,9
12,13,6,7,6
13,15,14,8,13
15,10,6,7,11
7,7,11,7,6
6,11,10,15,7
10,10,12,14,8
15,6,14,7,12
8,9,10,15,6
8,15,13,8,9
14,13,12,7,11
9,6,11,15,6
13,9,13,8,13
15,11,12,11,10
15,15,15,8,9
12,7,13,12,15
10,12,15,12,12
12,10,12,12,15
6,10,15,7,12
10,15,14,14,10
12,12,15,15,13
13,15,8,12,7
7,10,13,9,6
13,15,8,11,14
12,15,15,11,6
7,9,12,9,13
10,14,12,11,13
13,10,15,12,12
7,9,15,6,15
14,9,11,11,6
15,10,9,14,13
14,12,9,9,10
13,12,14,14,7
13,14,11,6,8
10,11,11,13,13
15,12,10,13,8
9,13,7,13,15
13,8,14,13,7
15,11,8,11,14
9,7,13,12,7
7,13,11,14,13
6,11,10,10,14
9,15,9,14,12
7,12,7,9,14
8,6,9,6,7
10,6,15,6,9
8,11,14,7,10
6,7,14,6,9
12,13,7,12,14
8,11,6,8,13
15,6,12,7,10
8,8,6,13,8
7,8,7,15,9
14,6,6,15,6
6,6,14,6,7
